0,30,60,90,120,150,180
-55.40852439,-60.20208642,-70.2894321,-74.24441463,-69.90232099,-72.68660494,-70.66065432
-64.76257143,-66.85321795,-81.76301299,-69.55730769,-67.59639474,-72.6572987,-75.32324675
-70.24896104,-73.33716883,-75.63354545,-81.53025974,-76.81133766,-73.91363158,-77.31021053
-81.1972973,-73.73648571,-72.56352632,-74.48983784,-82.9466,-79.09817333,-77.27089474
-67.6976375,-64.4395375,-63.62640741,-61.50802469,-64.2546962,-82.0525679,-67.13944444
-57.86669136,-50.82678049,-48.94711111,-51.82965432,-72.0052716,-55.6290625,-61.42851852
-46.2438125,-43.20767901,-46.26569512,-58.40649383,-52.77566667,-53.69122222,-63.80534146
-56.0781358,-54.4373625,-51.13498765,-51.53465823,-65.79161728,-58.9946625,-61.66603947
-67.9820641,-55.21367532,-60.4044026,-48.74667949,-43.48646154,-45.91014286,-56.88902597
-65.15888312,-68.45776623,-67.76374026,-57.31057895,-56.02855263,-62.03132468,-71.04331579
-67.13051316,-68.39998667,-66.36680263,-64.15979221,-66.63148,-72.5635,-69.01790789
-70.44723457,-69.56520988,-64.16035802,-64.07635802,-75.18617143,-72.56469136,-77.74353086
-78.14691139,-73.52606173,-66.964975,-67.00653165,-69.4857875,-69.25118519,-73.0946
-87.47725,-72.572225,-75.38262667,-68.9596875,-64.584475,-69.9656875,-81.5193
-60.09264557,-64.8943,-79.81708861,-71.65386076,-65.3131625,-57.59518987,-58.2104125
-47.32633333,-55.82121795,-59.20103846,-56.54290789,-59.83832051,-54.36466667,-67.00841026
-58.11370886,-64.19324051,-78.13438462,-73.7770641,-65.19611392,-60.41047436,-63.6337013
-62.21624051,-69.31007407,-76.46788608,-70.87808974,-76.64251282,-69.05516456,-67.21453846
-79.63625316,-69.29673418,-70.86948101,-71.3841625,-67.80640506,-66.58143038,-70.4031519
-70.501075,-75.0150125,-76.04793671,-75.5577625,-78.59750633,-69.90406329,-71.312925
-73.63780247,-73.271725,-72.24792593,-72.96453086,-72.19951471,-72.99658025,-78.3535375
-74.98467901,-74.75864198,-77.575925,-78.95335897,-69.98822222,-68.81876543,-72.1413
